,product_id,product_title,rating,summary,review,name,location,date,upvotes,downvotes
289,ACCGY4GMUVP9UFNS,"HUPSHY Back Cover for Samsung Galaxy M12, Samsung Galaxy F12, Samsung Galaxy A12",5,Just wow!,Good 👍 👍,Anand Kumar Yadav,Jamalpur,30 days ago,0,0
1542,AICFCMRDPJ4DK4ZD,Flipkart SmartBuy 30 L Tower Air Cooler,5,Terrific,"This product is really good one. I would suggest one should go and purchase this product in this price getting deal us really awesome. Blower is sufficient for 200sqft room decreases the room temperature quickly so you feel cool. Looks are really good, quality is okay not that bad but as per price is expected better than deal you get outside. Used this product more than a week now and i am happy with the product thanks flipkart for good product.",Pankaj Sharma,Pune,"Mar, 2019",7,4
266,ACCGFXRUUQEYMRKA,"CEDO Flip Cover for Samsung Galaxy F12, Samsung Galaxy M12, Samsung Galaxy A12",2,Bad quality,Quality is not good,Puneet Sharma,Noida,9 months ago,0,0
833,AICFYNG9D7JTYFZE,Symphony 70 L Desert Air Cooler,4,Wonderful,Powerfull fan . Feel like storm,Saurabh Pathak ,Kanpur,8 months ago,0,0
445,ACCFBDCVVNXUWBXH,ZEBRONICS Zeb-Judwaa 750 Keyboard & Mouse Combo Wired USB Desktop Keyboard,5,Must buy!,Best product,Amit Kumar,Ghaziabad,18 days ago,0,0
882,ACCES6YFGJFF7GFJ,QUANTUM QHM7307 MINI MULTIMEDIA KEYBOARD Wired USB Multi-device Keyboard,1,Waste of money!,Wast of money. dont buy. U will suffer,Shubhrojeet Basu,Siliguri,"Jan, 2019",0,0
574,AICEQVHUD9VZC4EG,Orient Electric 20 L Room/Personal Air Cooler,5,Mind-blowing purchase,Godd products,santosh patil,Mumbai,"Sep, 2017",7,0
78,AICERF3ZMFAYK4ZC,Hindware 85 L Desert Air Cooler,5,Brilliant,Super conditions and nice coling Bulid quality osm And nice performanceValue for money💵💵💵💵But one sad feeling Delivery time tooo long 10 days delivery Other wise good product Thank q flipkart and tq hindware 🥰🥰🥰🥰🥰🥰🥰🥰🥰😇🥰,Venkatesh Mahi,Krishna,11 months ago,1,0
282,ACCFBZGVBKU3MNFY,HP 100 Wired USB Desktop Keyboard,5,Must buy!,Go for it,Sumant Gandotra,Jammu,22 days ago,0,0
148,AICGF8KFFAPSZJES,Orient Electric 85 L Desert Air Cooler,2,Slightly disappointed,"Good air throw. 70% cooling. Loud on top speed..Enough for big 20*20 RoomBuild quality is poor, pump is not working with in a month.",Akash Chaudhary,Ghaziabad,9 months ago,1,2
1155,AICFNNBW9EB2S9ZA,Symphony 55 L Tower Air Cooler,4,Good quality product,Good and worthy and thanks to fast delivery.,Abishek Kaviya Ak,Chennai,10 months ago,1,0
290,ACCGY4GMUVP9UFNS,"HUPSHY Back Cover for Samsung Galaxy M12, Samsung Galaxy F12, Samsung Galaxy A12",4,Delightful,Overall a gud product..,Anurag pandey,Garhwa,1 month ago,0,0
